"stid","discid","semnum","stmark"
1150,57,4,73
1160,106,4,77
1161,29,4,62
1144,136,4,65
1154,14,4,60
1158,59,4,95
1146,59,4,75
1664,28,4,77
1143,29,4,60
1119,29,4,77
1151,29,4,79
1152,3,4,86
1152,2,4,80
1148,57,4,76
1164,14,4,60
1157,14,4,65
1161,136,4,60
1144,29,4,75
1146,106,4,60
1158,106,4,77
1165,57,4,71
1152,338,4,100
1143,136,4,60
1119,136,4,65
1151,136,4,75
1160,59,4,100
1164,29,4,35
1165,2,4,95
1148,338,4,100
1157,29,4,75
1150,338,4,100
1144,14,4,60
1154,136,4,65
1165,3,4,75
1161,14,4,60
1150,3,4,70
1154,29,4,68
1163,28,4,90
1143,14,4,60
1152,57,4,69
1148,2,4,90
1165,338,4,100
1119,14,4,60
1151,14,4,75
1150,2,4,80
1164,136,4,60
1149,28,4,60
1148,3,4,95
1153,28,4,61
1157,136,4,60
1157,59,4,74
1163,338,4,100
1165,28,4,60
1164,59,4,95
1160,14,4,80
1154,106,4,62
1149,338,4,100
1153,338,4,100
1163,2,4,90
1149,3,4,75
1154,59,4,100
1158,14,4,60
1148,28,4,90
1153,3,4,76
1146,14,4,60
1164,106,4,90
1150,28,4,61
1664,57,4,76
1163,3,4,81
1157,106,4,66
1153,2,4,62
1149,2,4,86
1144,106,4,66
1151,59,4,95
1160,136,4,92
1143,59,4,74
1664,2,4,90
1146,29,4,72
1158,29,4,76
1153,57,4,69
1161,59,4,100
1149,57,4,74
1801,2,4,0
1664,3,4,70
1163,57,4,90
1152,28,4,65
1664,338,4,100
1160,29,4,90
1161,106,4,67
1143,106,4,60
1146,136,4,62
1158,136,4,64
1144,59,4,89
1119,106,4,60
1151,106,4,77
1152,59,4,100
1160,338,4,100
1158,3,4,75
1149,14,4,60
1146,3,4,83
1153,14,4,60
1664,29,4,60
1161,28,4,65
1119,28,4,70
1151,28,4,82
1143,28,4,61
1146,2,4,90
1158,2,4,71
1163,14,4,77
1664,136,4,60
1144,28,4,73
1160,2,4,90
1160,3,4,78
1158,338,4,100
1146,338,4,100
1152,106,4,66
1148,106,4,90
1163,136,4,82
1165,59,4,74
1160,57,4,97
1164,28,4,75
1150,106,4,62
1153,136,4,35
1157,28,4,80
1149,136,4,35
1150,59,4,74
1153,29,4,35
1149,29,4,60
1146,57,4,77
1158,57,4,75
1165,106,4,60
1664,14,4,60
1154,28,4,83
1148,59,4,100
1163,29,4,75
1164,3,4,75
1148,136,4,77
1157,3,4,87
1163,106,4,90
1154,338,4,100
1164,2,4,84
1144,57,4,75
1150,136,4,60
1157,2,4,95
1153,106,4,60
1149,106,4,66
1165,29,4,35
1150,29,4,60
1149,59,4,95
1154,3,4,82
1161,57,4,76
1153,59,4,89
1119,57,4,77
1151,57,4,75
1165,136,4,20
1143,57,4,64
1152,14,4,60
1163,59,4,89
1154,2,4,90
1164,338,4,100
1157,338,4,100
1148,29,4,81
1154,57,4,97
1161,3,4,80
1144,338,4,100
1150,14,4,60
1143,3,4,73
1152,29,4,69
1119,3,4,76
1151,3,4,80
1161,2,4,93
1119,2,4,71
1151,2,4,79
1158,28,4,77
1143,2,4,69
1146,28,4,90
1148,14,4,82
1664,59,4,74
1664,106,4,60
1160,28,4,90
1164,57,4,75
1144,2,4,70
1157,57,4,90
1144,3,4,80
1161,338,4,100
1119,338,4,100
1151,338,4,100
1143,338,4,100
1152,136,4,60
1165,14,4,60
